GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PropPilot Backend,com.prop_pilot.service.impl,TenantServiceImpl,10,148,6,12,1,29,5,14,0,10
PropPilot Backend,com.prop_pilot.service.impl,PaymentServiceImpl,16,244,8,12,2,47,10,16,2,14
PropPilot Backend,com.prop_pilot.service.impl,PropertyUnitServiceImpl,5,86,2,2,1,18,2,9,0,9
PropPilot Backend,com.prop_pilot.config,OpenApiConfig,34,0,0,0,12,0,2,0,2,0
PropPilot Backend,com.prop_pilot.config,CorsConfig,0,113,0,0,0,15,0,3,0,3
PropPilot Backend,com.prop_pilot.exception,ResourceNotFoundException,0,17,0,0,0,7,0,3,0,3
PropPilot Backend,com.prop_pilot.exception,GlobalExceptionHandler,0,150,0,0,0,53,0,8,0,8
PropPilot Backend,com.prop_pilot.exception,ErrorResponse,239,43,48,0,1,7,34,8,10,8
PropPilot Backend,com.prop_pilot.exception,BusinessLogicException,0,17,0,0,0,7,0,3,0,3
PropPilot Backend,com.prop_pilot.exception,ValidationException,7,10,0,0,3,4,1,2,1,2
PropPilot Backend,com.prop_pilot.exception,ErrorResponse.ErrorResponseBuilder,16,49,0,0,0,1,1,8,1,8
PropPilot Backend,com.prop_pilot.entity,Payment.PaymentType,0,33,0,0,0,6,0,1,0,1
PropPilot Backend,com.prop_pilot.entity,Payment,334,72,78,0,0,12,43,19,4,19
PropPilot Backend,com.prop_pilot.entity,PropertyUnit,267,57,62,0,0,9,35,15,4,15
PropPilot Backend,com.prop_pilot.entity,Payment.PaymentStatus,0,15,0,0,0,3,0,1,0,1
PropPilot Backend,com.prop_pilot.entity,Tenant,231,50,54,0,0,8,31,13,4,13
PropPilot Backend,com.prop_pilot.controller,PaymentController,2,108,1,3,0,25,1,13,0,12
PropPilot Backend,com.prop_pilot.controller,TenantController,4,122,0,0,2,24,0,11,0,11
PropPilot Backend,com.prop_pilot.controller,PropertyUnitController,0,61,0,0,0,15,0,8,0,8
PropPilot Backend,com.prop_pilot,PropPilotApplication,5,8,0,0,2,2,1,2,1,2
PropPilot Backend,com.prop_pilot,PropPilotApplication.new WebMvcConfigurer() {...},0,50,0,0,0,7,0,2,0,2
